Stem,Frequency
the,2257
to,1424
of,1323
in,1130
a,962
s,876
and,806
day,747
for,508
on,503
hr,479
is,440
bbc,355
feb,351
with,340
it,328
from,261
at,260
say,245
as,241
how,218
after,215
us,205
2,190
see,190
by,186
trump,184
hi,182
are,175
about,173
ha,171
be,170
that,166
play,162
wa,159
3,158
not,151
new,148
but,143
4,139
will,137
1,132
an,130
5,125
year,124
ai,124
have,121
gaza,120
world,115
he,109
