Stem,Frequency
de,6284
la,4266
en,3217
y,3068
el,2805
a,2197
que,1852
lo,1806
con,1439
un,1130
su,1064
para,1040
del,896
por,870
una,766
se,720
2025,704
al,633
no,561
má,546
oscar,537
tu,530
paí,520
es,469
ha,446
mejor,354
05,349
mar,299
sin,299
premio,294
día,288
como,265
trump,244
año,240
feb,237
solo,231
o,229
está,219
est,205
entr,199
mi,195
estado,191
15,189
sobr,185
nuestra,181
leccion,181
película,178
actriz,171
anora,170
nivel,166
