Stem,Frequency
de,6418
la,4341
en,3242
y,3146
el,2866
a,2246
que,1842
lo,1830
con,1423
un,1114
su,1056
para,1032
del,937
por,876
una,749
2025,747
se,719
al,634
no,587
má,553
tu,531
paí,522
oscar,489
es,442
ha,428
05,397
mejor,359
mar,301
sin,300
premio,297
día,282
feb,263
como,260
año,240
trump,239
o,223
entr,222
está,219
15,210
estado,209
solo,208
est,204
mi,192
sobr,184
cetel,181
todo,178
leccion,178
nuestra,178
película,174
tra,166
