Stem,Frequency
the,2342
to,1459
of,1335
in,1150
a,993
s,921
and,860
day,794
for,528
hr,520
on,518
is,452
bbc,376
with,358
it,326
feb,323
from,275
say,261
at,260
as,244
after,224
how,220
us,210
2,199
see,197
by,191
hi,187
about,182
trump,181
are,180
be,172
wa,169
ha,168
that,167
play,164
3,156
not,153
but,147
4,147
new,146
will,140
1,139
an,136
5,125
gaza,124
year,124
ai,123
have,119
world,118
their,115
